(0,0)
(52,97)
(10,10),(10,20),(20,20),(20,10)
(10,25),(10,35),(20,35),(20,25)
(10,40),(10,50),(20,50),(20,40)
(10,55),(10,65),(20,65),(20,55)
(10,70),(10,80),(20,80),(20,70)
(10,85),(10,95),(20,95),(20,85)
(10,100),(10,110),(20,110),(20,100)
(10,115),(10,125),(20,125),(20,115)
(10,130),(10,140),(20,140),(20,130)
(10,145),(10,155),(20,155),(20,145)
(10,160),(10,170),(20,170),(20,160)
(25,10),(25,20),(35,20),(35,10)
(25,25),(25,35),(35,35),(35,25)
(25,40),(25,50),(35,50),(35,40)
(25,55),(25,65),(35,65),(35,55)
(25,70),(25,80),(35,80),(35,70)
(25,85),(25,95),(35,95),(35,85)
(25,100),(25,110),(35,110),(35,100)
(25,115),(25,125),(35,125),(35,115)
(25,130),(25,140),(35,140),(35,130)
(25,145),(25,155),(35,155),(35,145)
(25,160),(25,170),(35,170),(35,160)
(40,10),(40,20),(50,20),(50,10)
(40,25),(40,35),(50,35),(50,25)
(40,40),(40,50),(50,50),(50,40)
(40,55),(40,65),(50,65),(50,55)
(40,70),(40,80),(50,80),(50,70)
(40,85),(40,95),(50,95),(50,85)
(40,100),(40,110),(50,110),(50,100)
(40,115),(40,125),(50,125),(50,115)
(40,130),(40,140),(50,140),(50,130)
(40,145),(40,155),(50,155),(50,145)
(40,160),(40,170),(50,170),(50,160)
(55,10),(55,20),(65,20),(65,10)
(55,25),(55,35),(65,35),(65,25)
(55,40),(55,50),(65,50),(65,40)
(55,55),(55,65),(65,65),(65,55)
(55,70),(55,80),(65,80),(65,70)
(55,85),(55,95),(65,95),(65,85)
(55,100),(55,110),(65,110),(65,100)
(55,115),(55,125),(65,125),(65,115)
(55,130),(55,140),(65,140),(65,130)
(55,145),(55,155),(65,155),(65,145)
(55,160),(55,170),(65,170),(65,160)
